Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time

09:52:36:5085,760,,25.0,,,,,,,,,,,,,,63.0,,
09:52:36:5951,760,,25.0,,,,,2.7,-5.3,,,,,,,2.6,63.0,,
09:52:36:6950,760,,25.0,,,,,2.7,-5.3,0.00,0.00,0.00,0.00,,,2.6,63.0,,
09:52:36:8134,760,,25.0,104.5,104.5,2.0,,2.7,-5.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:36:9556,760,,23.4,104.5,104.5,2.0,,2.7,-5.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:0370,760,,23.4,104.5,104.5,2.0,,2.4,-8.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:1182,760,,23.4,104.5,104.5,2.0,,2.4,-8.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:1958,760,,23.4,104.5,104.5,2.0,,2.4,-8.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:2807,760,,18.4,104.5,104.5,2.0,,2.4,-8.3,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:3922,760,,18.4,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:4738,760,,18.4,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:5552,760,,18.4,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:6363,760,,16.0,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:7274,760,,16.0,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:8089,760,,16.0,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:9043,760,,16.0,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
09:52:37:9919,760,,13.7,104.5,104.5,2.0,,2.4,-6.0,0.00,0.00,0.00,0.00,15.0,,2.6,63.0,,
