Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time

11:24:31:2096,,,,,,,,3.5,-2.3,,,,,,,3.8,,,
11:24:31:3194,,,,,,,,3.5,-2.3,0.00,0.00,0.00,0.00,,,3.8,,,
11:24:31:4056,,,,118.0,118.0,2.0,,3.5,-2.3,0.00,0.00,0.00,0.00,14.3,,3.8,,,
11:24:31:4900,1200,,0.0,118.0,118.0,2.0,,3.5,-2.3,0.00,0.00,0.00,0.00,14.3,,3.8,76.0,,
11:24:31:5780,1200,,0.0,118.0,118.0,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.8,76.0,,
11:24:31:6649,1200,,0.0,118.0,118.0,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.8,76.0,,
11:24:31:7711,1200,,0.0,117.3,117.3,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.8,76.0,,
11:24:31:8526,1200,,0.0,117.3,117.3,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.8,77.0,,
11:24:31:9296,1200,,0.0,117.3,117.3,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.7,77.0,,
11:24:32:0110,1200,,0.0,117.3,117.3,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.7,77.0,,
11:24:32:0909,1200,,0.0,118.0,118.0,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.7,77.0,,
11:24:32:1725,1200,,0.0,118.0,118.0,2.0,,3.5,-0.8,0.00,0.00,0.00,0.00,14.3,,3.7,77.0,,
11:24:32:2543,1200,,0.0,118.0,118.0,2.0,,3.5,-1.5,0.00,0.00,0.00,0.00,14.3,,3.8,77.0,,
